relation,identifier,scheme,resource_type,bibkey,title
Cites,10.5281/zenodo.18365949,DOI,other,tsiokos2026sixbirds,"Six Birds: Foundations of Emergence Calculus"
Cites,10.5281/zenodo.18838994,DOI,other,tsiokos2026create,"To Create a Stone with Six Birds: Emergent Geometric and Thermodynamic Regimes from a Minimal Stochastic Substrate"
Cites,10.2307/1907353,DOI,publication-article,arrowdebreu1954,"Existence of an Equilibrium for a Competitive Economy"
Cites,10.2307/3215235,DOI,publication-article,buchholz1994lumpability,"Exact and Ordinary Lumpability in Finite {Markov} Chains"
Cites,10.1007/978-3-319-21401-6_26,DOI,publication-conferencepaper,demoura2015lean,"The {Lean} Theorem Prover ({System} Description)"
Cites,10.1103/PhysRevE.82.011143,DOI,publication-article,esposito2010threefaces,"Three Faces of the Second Law. {I}. Master Equation Formulation"
Cites,10.1103/PhysRev.106.620,DOI,publication-article,jaynes1957information,"Information Theory and Statistical Mechanics"
Cites,10.1006/jeth.1997.2357,DOI,publication-article,kocherlakota1998money,"Money Is Memory"
Cites,10.1214/aoms/1177729694,DOI,publication-article,kullback1951information,"On Information and Sufficiency"
Cites,10.1023/A:1004589714161,DOI,publication-article,lebowitz1999gallavotti,"A {Gallavotti--Cohen}-Type Symmetry in the Large Deviation Functional for Stochastic Dynamics"
Cites,10.1145/3372885.3373824,DOI,publication-conferencepaper,mathlib2020,"The {Lean} Mathematical Library"
Cites,10.1103/RevModPhys.85.1115,DOI,publication-article,presse2013maxent,"Principles of Maximum Entropy and Maximum Caliber in Statistical Physics"
Cites,10.1103/RevModPhys.48.571,DOI,publication-article,schnakenberg1976network,"Network Theory of Microscopic and Macroscopic Behavior of Master Equation Systems"
Cites,10.1103/PhysRevLett.95.040602,DOI,publication-article,seifert2005entropy,"Entropy Production along a Stochastic Trajectory and an Integral Fluctuation Theorem"
Cites,10.1002/j.1538-7305.1948.tb01338.x,DOI,publication-article,shannon1948mathematical,"A Mathematical Theory of Communication"
Cites,10.1016/S0304-3932(03)00029-1,DOI,publication-article,sims2003rationalinattention,"Implications of Rational Inattention"
